@044;I;Ver:1a#
@044;T;00:00:00;Reset#
@044;T;00:00:05;Init wait done.#
@044;T;00:00:05;Modem init done.#
@044;D;03.09.16;18:20:30.9;15.54929N;5004.88916E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:31.9;15.549300N;5004.889200E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:32.9;15.569700N;5004.888700E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:33.9;15.589300N;5004.854100E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:34.9;15.589800N;5004.845100E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:35.9;15.689200N;5004.820700E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:36.9;15.739000N;5004.814500E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:37.9;15.789000N;5004.784800E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:38.9;15.789800N;5004.778200E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:39.9;15.799500N;5004.781500E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:40.9;15.809200N;5004.773500E;6.2;323.4;298.61;8;1;22.1;;;;;#
@044;D;03.09.16;18:20:41.9;15.809800N;5004.769700E;6.2;323.4;298.61;8;1;22.1;;;;;#
