@042;I;00:00:00;Var. init.;SW:PaPa,0.2;HW:s12,SIM5320e,bastl#
@042;T;00:00:00;Reset#
@042;T;00:00:05;Init wait done.#
@042;T;00:00:05;Modem init done.#
@042;D;03.09.16;18:20:30.9;1423.544500N;5004.881500E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:31.9;1423.545300N;5004.889200E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:32.9;1423.564700N;5004.888700E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:33.9;1423.580300N;5004.854100E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:34.9;1423.582800N;5004.845100E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:35.9;1423.680200N;5004.820700E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:36.9;1423.737000N;5004.814500E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:37.9;1423.784000N;5004.784800E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:38.9;1423.789800N;5004.778200E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:39.9;1423.799500N;5004.781500E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:40.9;1423.807200N;5004.773500E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:41.9;1423.809800N;5004.769700E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:42.9;1423.817800N;5004.765400E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:43.9;1423.802000N;5004.751200E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:44.9;1423.803500N;5004.749300E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:45.9;1423.819400N;5004.751100E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:46.9;1423.831800N;5004.754300E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:47.9;1423.838200N;5004.754700E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:48.9;1423.840800N;5004.751300E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:49.9;1423.829200N;5004.743100E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:50.9;1423.827600N;5004.740200E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:51.9;1423.810400N;5004.739600E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:52.9;1423.801100N;5004.737300E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:53.9;1423.800100N;5004.734200E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:54.9;1423.803600N;5004.728700E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:55.9;1423.808100N;5004.728800E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:56.9;1423.810200N;5004.721000E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:57.9;1423.833700N;5004.714600E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:58.9;1423.836600N;5004.711400E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:20:59.9;1423.837100N;5004.707800E;6.2;323.4;298.61;8;1;319;99479#
@042;D;03.09.16;18:21:00.9;1423.847100N;5004.704700E;6.2;323.4;298.61;8;1;319;99479#
