@30;D;22.08.16;12:11:11.0;5006.14526N;01423.63287E;0.082;117.18;237.4;1;9;21;-1;-1#
@30;D;22.08.16;12:11:16.0;5006.14482N;01423.63175E;0.069;117.18;232.7;1;10;21;-1;-1#
@30;D;22.08.16;12:11:21.0;5006.14478N;01423.63049E;0.151;117.18;229.5;1;11;21;-1;-1#
@30;D;22.08.16;12:11:26.0;5006.14470N;01423.63060E;0.036;117.18;229.2;1;10;21;-1;-1#
@30;D;22.08.16;12:11:31.0;5006.14441N;01423.63131E;0.099;117.18;229.4;1;9;21;-1;-1#
@30;D;22.08.16;12:11:36.0;5006.14401N;01423.63256E;0.014;117.18;230.0;1;10;21;-1;-1#
@30;D;22.08.16;12:11:41.0;5006.14322N;01423.63506E;0.032;117.18;231.8;1;10;21;-1;-1#
@30;D;22.08.16;12:11:46.0;5006.14270N;01423.63675E;0.017;117.18;233.5;1;9;21;-1;-1#
@30;D;22.08.16;12:11:51.0;5006.14237N;01423.63733E;0.100;117.18;234.1;1;9;21;-1;-1#
@30;D;22.08.16;12:11:56.0;5006.14193N;01423.63815E;0.033;117.18;234.3;1;9;21;-1;-1#
@30;D;22.08.16;12:12:01.0;5006.14194N;01423.63770E;0.052;117.18;233.6;1;10;21;-1;-1#
@30;D;22.08.16;12:12:06.0;5006.14143N;01423.63867E;0.023;117.18;233.3;1;9;20;-1;-1#
@30;D;22.08.16;12:12:11.0;5006.14084N;01423.63963E;0.047;117.18;232.7;1;9;20;-1;-1#
@30;D;22.08.16;12:12:16.0;5006.14012N;01423.64088E;0.041;117.18;232.2;1;10;20;-1;-1#
@30;D;22.08.16;12:12:21.0;5006.13940N;01423.64207E;0.059;117.18;231.5;1;10;20;-1;-1#
@30;D;22.08.16;12:12:26.0;5006.13864N;01423.64342E;0.013;117.18;231.2;1;11;20;-1;-1#
@30;D;22.08.16;12:12:31.0;5006.13796N;01423.64525E;0.057;117.18;232.2;1;10;20;-1;-1#
@30;D;22.08.16;12:12:36.0;5006.13746N;01423.64655E;0.047;117.18;232.9;1;11;20;-1;-1#
@30;D;22.08.16;12:12:41.0;5006.13682N;01423.64806E;0.044;117.18;233.0;1;10;20;-1;-1#
@30;D;22.08.16;12:12:46.0;5006.13659N;01423.64830E;0.044;117.18;232.1;1;11;20;-1;-1#
@30;D;22.08.16;12:12:51.0;5006.13638N;01423.64804E;0.138;117.18;229.8;1;10;20;-1;-1#
@30;D;22.08.16;12:12:56.0;5006.13647N;01423.64719E;0.076;117.18;227.8;1;8;20;-1;-1#
@30;D;22.08.16;12:13:01.0;5006.13643N;01423.64692E;0.061;117.18;226.9;1;9;21;-1;-1#
@30;D;22.08.16;12:13:06.0;5006.13646N;01423.64635E;0.025;117.18;225.9;1;10;20;-1;-1#
@30;D;22.08.16;12:13:11.0;5006.13648N;01423.64597E;0.029;117.18;225.2;1;10;20;-1;-1#
